0,Expanding Mean 8 statusN,Expanding Mean 8 statusS,Expanding Mean 8 tempC,Expanding Mean 8 windspeedMiles,Expanding Mean 8 precipMM,Expanding Mean 8 humidity,Expanding Mean 8 visibility,Expanding Mean 8 pressure,Expanding Mean 8 cloudcover,Expanding Mean 8 heatIndexC,Expanding Mean 8 dewPointC,Expanding Mean 8 windChillC
statusN,0.9343774724353348,0.10402117391851616,-0.3609118620741783,-0.11823444653413345,-0.02903547986527753,0.30516992476492205,0.0444651784441087,-0.04105975595969436,0.032062276149186816,-0.3674106348600717,-0.2290806639864351,-0.3611163502315907
statusS,0.113533418174284,0.9595675561733504,-0.10359147583015044,0.0049586690269547784,0.010684643815377535,0.08628222773310737,-0.02049941376631655,0.006742154889516348,-0.01571210128631978,-0.10317219457856973,-0.05962705324026079,-0.1036532847569734
tempC,-0.3469457366874364,-0.09862770654028244,0.9906760454099603,0.02785427567230413,-0.07267111755160734,-0.91250981959821,0.0967952395672524,0.008390132302069742,-0.22025799120611814,0.9713654338439242,0.34536939354064344,0.9906212219570456
windspeedMiles,-0.1331110827648369,0.006268799281029864,0.08954507063215887,0.993470673935568,0.4062245299982277,-0.052193869065716735,-0.3380944013314539,-0.4870054546791229,0.3608404220510284,0.08324718952715568,-0.015160846582253862,0.09029163006723756
precipMM,-0.056236335665005466,0.01214142221198773,-0.00824919910804534,0.4176700789238379,0.991694634766816,0.18999197287790104,-0.8071177786244985,-0.4486749937367748,0.5850911025006962,0.05829129032372784,0.3550636972792721,-0.00771968702035735
humidity,0.2876498766169527,0.08053921858589022,-0.902937361223292,0.008228038109199646,0.2550394625346626,0.9928501909351878,-0.26077016148181603,-0.11431090493777996,0.2877681281916729,-0.8450877219708238,-0.05409898770214213,-0.9027603780118432
visibility,0.0616746349849851,-0.02812168791214419,0.051637764512422274,-0.34380913758143433,-0.792764886759616,-0.2131684083838057,0.9789212416331279,0.33433430226844524,-0.4621978221562544,-0.011380210797089577,-0.3032351347581115,0.051066587923342184
pressure,-0.0520834480765538,0.005206530147386574,0.00014000532575214486,-0.4798798123218104,-0.4414992900603641,-0.10245720852002847,0.3343808361880717,0.9979435246399168,-0.4432764681877772,-0.0522782272079622,-0.20559806197311065,-0.000289744666422872
cloudcover,0.017236961534670574,-0.017170286503480115,-0.1952984176709557,0.35232393390742706,0.5785305458966431,0.2649527382922082,-0.4602397977822494,-0.4443729959363985,0.9951996518436018,-0.14007356470789306,0.10888254959400104,-0.1946781376168324
heatIndexC,-0.3468066274222801,-0.0972370954433713,0.9599797684627506,0.014569674930857647,-0.010051565333813592,-0.8456888397492328,0.03651596721747069,-0.04148556947717865,-0.16743469347663506,0.9906344437439568,0.4929624371423724,0.9600587177145192
dewPointC,-0.22111931528956674,-0.0590379327716692,0.33354052344464585,-0.03816595250458678,0.3306532017178648,-0.05090829526082461,-0.2894944802365576,-0.21010280300342385,0.09735288853609764,0.4837143118413352,0.9849916456993288,0.33389217640500474
windChillC,-0.3471464243602487,-0.09864292462975864,0.99058407980319,0.028694495811633188,-0.07207253524053828,-0.9124170671593425,0.09619797025375347,0.007897879838669856,-0.2195627409393396,0.9714225852375638,0.34554469310169106,0.9906765620721564
windGustMiles,-0.08321670957826365,0.022135447055877142,-0.04631545228377002,0.9652901852153322,0.4922069544490161,0.0841273209890485,-0.4179354771102694,-0.4721685569280212,0.4207384799838314,-0.05281873768311803,-0.055378309722976866,-0.045641979195450634
feelsLikeC,-0.3468066274222801,-0.0972370954433713,0.9599797684627506,0.014569674930857647,-0.010051565333813592,-0.8456888397492328,0.03651596721747069,-0.04148556947717865,-0.16743469347663506,0.9906344437439568,0.4929624371423724,0.9600587177145192
statusN_Rmean=2,0.9679941117563838,0.10659446770444657,-0.35633704669436234,-0.12398661148151426,-0.0401465221535183,0.29975661875579673,0.05078001698422779,-0.047006884934063284,0.02649522683510353,-0.3603182518995057,-0.2248962824963894,-0.3565793025525125
statusS_Rmean=2,0.1134085020659299,0.9810841486452622,-0.1019968441016905,0.005591377694546054,0.011748829542655057,0.08503948855956114,-0.022473337487664773,0.005634340705134697,-0.015867611778284472,-0.10135199175979563,-0.059094263399863775,-0.10206442707948653
statusN_Rmean=3,0.9450734764247888,0.10715783638085752,-0.3489037969908656,-0.1291391518805995,-0.05144439998913333,0.2919397981800146,0.05631963560110294,-0.052863684110707056,0.021041800948779586,-0.3508882319786824,-0.21956115512061647,-0.3491606809351325
statusS_Rmean=3,0.11215117225528068,0.970224809054398,-0.0994354395730101,0.006340973176525295,0.013965210878225578,0.08309693727005606,-0.02486389134732633,0.004313512009670863,-0.016618983523522368,-0.09859509226754327,-0.057101960224622064,-0.09947369222175584
